type;raw;processed;sample_size;mu;var;mu_se;se_se;poscase_dat;poscase_est;meanlevel_dat;meanlevel_est;meanlevelpos_dat;meanlevelpos_est;medlevel_dat;medlevel_est;ref
T-2;Durum wheat;NA;47;-1.61;0.23;0.42826487;12.91661205;0;0;NA;0;NA;0;NA;0;Bertuzzi et al., 2014
HT-2;Durum wheat;NA;47;-3.33;1.93;0.91438163;0.37422286;0.06;0.09;0.5;0.38;NA;0;NA;0;Bertuzzi et al., 2014
T-2;NA;Light beer;70;-9.98;3.59;1.82462765;0.31857857;0.02;0.02;NA;0;41.2;1.4;NA;0;Bogdanova et al., 2018
HT-2;NA;Light beer;70;-2.29;2;0.28826191;0.15166768;0.6;0.6;NA;0;2.04;1.22;NA;0;Bogdanova et al., 2018
T-2;NA;Dark beer;11;-2.29;1.62;0.59530462;0.22820477;0.54;0.56;NA;0;1.2;0.63;NA;0;Bogdanova et al., 2018
HT-2;NA;Dark beer;11;-3.41;1.85;0.77172017;0.24601486;0.36;0.37;NA;0;1.13;0.45;NA;0;Bogdanova et al., 2018
T-2;NA;Specific beer;19;-4.31;2.25;0.86043144;0.23658323;0.21;0.21;NA;0;2.78;0.72;NA;0;Bogdanova et al., 2018
HT-2;NA;Specific beer;19;-3.84;2.21;0.73084;0.21843648;0.32;0.32;NA;0;2.49;0.72;NA;0;Bogdanova et al., 2018
T-2;Maize;NA;6;1.92;0.32;0.18225464;0.06462589;0.17;0.2;NA;0;10;9.07;NA;0;De Boevre et al., 2012
HT-2;Maize;NA;6;0.87;0.78;0.64469731;0.27537107;0.17;0.17;NA;0;10;6.8;NA;0;De Boevre et al., 2012
T-2;Wheat;NA;6;2.71;0.5;0.21694525;0.15284545;0.83;0.85;NA;0;18;16.26;NA;0;De Boevre et al., 2012
HT-2;Wheat;NA;6;1.97;0.65;0.26733752;0.17621145;0.67;0.71;NA;0;12.5;9.77;NA;0;De Boevre et al., 2012
T-2;Oats;NA;6;3.29;0.14;0.05244253;0.05136396;1;1;NA;0;26.5;27.21;NA;0;De Boevre et al., 2012
HT-2;Oats;NA;6;3.75;0.55;0.30353432;0.22223817;1;1;NA;0;44;49.54;NA;0;De Boevre et al., 2012
T-2;NA;Bread;6;2.22;0.68;0.3452417;0.20493997;0.5;0.51;NA;0;18;14.67;NA;0;De Boevre et al., 2012
HT-2;NA;Bread;6;1.63;0.68;0.3452846;0.20498639;0.5;0.51;NA;0;10;8.15;NA;0;De Boevre et al., 2012
T-2;NA;Cornflakes;6;2.22;0.68;0.3452417;0.20493997;0.5;0.51;NA;0;18;14.67;NA;0;De Boevre et al., 2012
HT-2;NA;Cornflakes;6;2.12;0.5;0.21692352;0.15281985;0.83;0.85;NA;0;10;9.03;NA;0;De Boevre et al., 2012
T-2;NA;Bread (fibre enrichted);52;2.62;0.57;0.07009405;0.08825771;0.63;0.66;16;15.36;NA;0;NA;0;De Boevre et al., 2013
HT-2;NA;Bread (fibre enrichted);52;2.5;0.6;0.07248353;0.08958783;0.69;0.69;14;13.99;NA;0;NA;0;De Boevre et al., 2013
T-2;NA;Bread (bran enrichted);36;1.13;1.08;0.54255446;0.38662321;0.14;0.12;6;7.38;NA;0;NA;0;De Boevre et al., 2013
HT-2;NA;Bread (bran enrichted);36;1.22;1.42;0.50910353;0.29235388;0.22;0.25;14;10.52;NA;0;NA;0;De Boevre et al., 2013
T-2;NA;Breakfast cereals;62;2.29;0.43;0.05261506;0.0871502;0.61;0.49;8;9.65;NA;0;NA;0;De Boevre et al., 2013
HT-2;NA;Breakfast cereals;62;2.44;0.57;0.06424443;0.08293901;0.65;0.66;13;12.79;NA;0;NA;0;De Boevre et al., 2013
T-2;NA;Popcorn;12;1.38;1.01;0.51560649;0.39273677;0.25;0.21;4;7.38;NA;0;NA;0;De Boevre et al., 2013
HT-2;NA;Popcorn;12;0.45;1.27;0.66683592;0.40486934;0.17;0.18;3;4.3;NA;0;NA;0;De Boevre et al., 2013
T-2;NA;Oatmeal;13;2.34;0.56;0.14237256;0.15014165;0.69;0.6;9;11.39;NA;0;NA;0;De Boevre et al., 2013
HT-2;NA;Oatmeal;13;2.44;1.25;0.36972161;0.27043853;0.69;0.7;20;24.96;NA;0;NA;0;De Boevre et al., 2013
T-2;Oats;NA;50;2.92;1.62;0.19723315;0.29682326;0.64;0.65;NA;2.5;NA;3.85;19;18.59;Fredlund et al., 2013
HT-2;Oats;NA;50;3.51;1.49;0.1868403;0.22445614;0.76;0.79;NA;3.2;NA;4.05;39;33.3;Fredlund et al., 2013
T-2;Oats;NA;50;2.12;1.35;0.25652994;0.30753668;0.44;0.45;NA;2.08;NA;0;NA;0;Fredlund et al., 2013
HT-2;Oats;NA;50;2.68;1.44;0.17523124;0.27770662;0.61;0.6;NA;2.18;NA;3.6;14;14.63;Fredlund et al., 2013
T-2;Oats;NA;50;2.89;1.21;0.14657724;0.20005192;0.62;0.69;NA;2.42;NA;3.52;24;18.07;Fredlund et al., 2013
HT-2;Oats;NA;50;3.76;1.29;0.17299814;0.18246277;0.86;0.87;NA;3.55;NA;4.07;45;43.04;Fredlund et al., 2013
T-2;Oats;NA;50;3.73;1.39;0.17902009;0.19469206;0.82;0.85;NA;3.49;NA;4.12;49;41.81;Fredlund et al., 2013
HT-2;Oats;NA;50;4.03;1.51;0.18523314;0.20023888;0.82;0.87;NA;3.83;NA;4.39;112;56.25;Fredlund et al., 2013
T-2;Oats;NA;43;2.68;1.18;0.15423265;0.23422215;0.63;0.62;NA;2.12;NA;3.39;14;14.54;Fredlund et al., 2013
HT-2;Oats;NA;43;3.07;1.67;0.21793601;0.30476362;0.63;0.68;NA;2.67;NA;3.95;27;21.44;Fredlund et al., 2013
T-2;Oats;NA;43;2.72;1.22;0.15920162;0.2355731;0.6;0.64;NA;2.19;NA;3.44;17;15.22;Fredlund et al., 2013
HT-2;Oats;NA;43;2.54;1.84;0.24809324;0.38890998;0.5;0.55;NA;2.13;NA;3.86;16;12.67;Fredlund et al., 2013
T-2;Oats;NA;43;2.81;0.97;0.1290854;0.17898689;0.71;0.7;NA;2.31;NA;3.29;16;16.67;Fredlund et al., 2013
HT-2;Oats;NA;43;3.28;1.31;0.17084695;0.20667094;0.71;0.77;NA;2.93;NA;3.79;38;26.67;Fredlund et al., 2013
T-2;Oats;NA;43;2.38;0.49;0.08864298;0.10314281;0.56;0.57;NA;2.08;NA;0;NA;0;Fredlund et al., 2013
HT-2;Oats;NA;43;2.66;0.88;0.11682554;0.16099258;0.56;0.66;NA;2.08;NA;3.15;21;14.34;Fredlund et al., 2013
T-2;Sweet peppers;NA;7;-3.51;0.28;0.95036038;3.98766416;0;0;0;0;NA;0;NA;0;Gambacorta et al., 2018
HT-2;Sweet peppers;NA;7;-4.51;0.28;1.22227905;3.98766416;0;0;0;0;NA;0;NA;0;Gambacorta et al., 2018
T-2;NA;Dried sweet peppers;23;-3.51;0.24;0.49473331;8.12257803;0;0;NA;0;NA;0;NA;0;Gambacorta et al., 2018
HT-2;NA;Dried sweet peppers;23;-5.62;1.35;0.49473331;4.88427238;0.09;0;NA;0;NA;0;NA;0;Gambacorta et al., 2018
T-2;NA;Grounded sweet peppers;8;-0.92;2.02;0.78710284;0.26869932;0.75;0.83;8.4;3.05;NA;0;NA;0;Gambacorta et al., 2018
HT-2;NA;Grounded sweet peppers;8;-3.03;2.84;1.15631293;0.28265541;0.5;0.61;34.4;2.65;NA;0;NA;0;Gambacorta et al., 2018
T-2;NA;Fried sweet peppers;7;-3.51;0.28;0.64282195;3.98766416;0;0;NA;0;NA;0;NA;0;Gambacorta et al., 2018
HT-2;NA;Fried sweet peppers;7;-4.05;1.35;0.64282195;4.88427238;0.43;0;NA;0;NA;0;NA;0;Gambacorta et al., 2018
T-2;NA;Beer;69;-2.51;1.35;0.2446043;4.88427238;0.16;0;NA;0;NA;0;NA;0;Grajewski et al., 2019
HT-2;NA;Beer;69;-0.58;0.86;0.11309343;0.07043813;0.74;0.69;NA;0;1.23;1.01;NA;0;Grajewski et al., 2019
HT-2;NA;Beer (normal lager);23;0.21;1.08;0.05637677;0.08417436;0.74;0.87;1.23;2.13;1.57;4.17;NA;0;Grajewski et al., 2019
HT-2;NA;Beer (strong lager);19;-0.2;1.34;0.28600147;0.17140338;1;0.73;NA;0;1.52;4.94;NA;0;Grajewski et al., 2019
HT-2;NA;Beer (porter);5;-0.32;0.79;0.33819883;0.20123007;0.8;0.81;NA;0;1.52;1.09;NA;0;Grajewski et al., 2019
HT-2;NA;Beer (unpasteurized);9;-0.86;1.35;0.56777839;4.88427238;0.67;0;NA;0;NA;0;NA;0;Grajewski et al., 2019
HT-2;NA;Beer (flavored);8;-1.43;1.35;0.60780542;4.88427238;0.38;0;NA;0;NA;0;NA;0;Grajewski et al., 2019
HT-2;NA;Beer (non-alcoholic);5;-1.36;1.35;0.76473813;4.88427238;0.4;0;NA;0;NA;0;NA;0;Grajewski et al., 2019
T-2;Oats;NA;7;0.22;0.28;0.18561762;3.98766416;0;0;NA;0;NA;0;NA;0;Juan et al., 2013
HT-2;Oats;NA;7;0.92;0.28;0.18561762;3.98766416;0;0;NA;0;NA;0;NA;0;Juan et al., 2013
T-2;Spelt;NA;3;0.22;0.33;0.0604772;2.59198448;0;0;NA;0;NA;0;NA;0;Juan et al., 2013
HT-2;Spelt;NA;3;0.92;0.33;0.24833653;2.59198448;0;0;NA;0;NA;0;NA;0;Juan et al., 2013
T-2;Wheat;NA;57;-2.65;2.23;0.91835318;0.31697119;0.05;0.05;0.39;1.77;NA;0;NA;0;Juan et al., 2013
HT-2;Wheat;NA;57;-1.28;1.94;0.96240842;0.37800797;0.05;0.07;4.44;3.48;NA;0;NA;0;Juan et al., 2013
T-2;Barley;NA;9;0.22;0.27;0.28168891;4.59691595;0;0;NA;0;NA;0;NA;0;Juan et al., 2013
HT-2;Barley;NA;9;0.92;0.27;0.28168891;4.59691595;0;0;NA;0;NA;0;NA;0;Juan et al., 2013
T-2;Rye;NA;11;0.22;0.27;0.34519717;5.16665191;0;0;NA;0;NA;0;NA;0;Juan et al., 2013
HT-2;Rye;NA;11;1.08;1.23;0.5303302;0.3719654;0.27;0.33;NA;0;5.34;13.66;NA;0;Juan et al., 2013
T-2;Rye;NA;20;0.4;1.31;0.34519717;1.25572911;0.85;0.94;1.64;3.49;1.93;4.62;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;20;1.79;1.85;0.34519717;1.25572911;0.85;0.88;6.59;32.73;7.75;45.14;NA;0;Kosicki et al., 2020
T-2;Rye;NA;20;-0.04;1.01;0.2364745;3.77272008;0.7;0.94;0.96;1.57;1.37;2.3;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;20;-0.51;1.54;0.38622231;0.19671806;0.55;0.47;NA;0;2.27;8.15;NA;0;Kosicki et al., 2020
T-2;Rye;NA;20;-2.12;1.54;0.45731178;0.20782987;0.35;0.37;NA;0;1.03;2.27;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;20;-1.06;1.56;0.48793002;0.21928353;0.3;0.34;NA;0;3.64;7.54;NA;0;Kosicki et al., 2020
T-2;Rye;NA;12;-1.83;1.45;0.49951043;0.20780021;0.42;0.44;NA;0;0.91;2.21;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;12;-0.84;1.55;0.52476841;0.21540196;0.42;0.39;NA;0;2.12;7.71;NA;0;Kosicki et al., 2020
T-2;Rye;NA;12;0.66;1.3;0.34519717;1.25572911;0.92;0.96;2.03;4.48;2.21;5.5;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;12;1.09;1.16;0.01419337;0.15425416;0.92;0.9;7.43;5.68;8.1;8.91;NA;0;Kosicki et al., 2020
T-2;Rye;NA;12;-0.46;1.63;0.34519717;0.3272806;0.5;0.76;0.98;2.35;1.96;4.53;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;12;1.1;1.73;0.02238049;0.30948556;0.5;0.81;3.38;13.26;6.77;22.28;NA;0;Kosicki et al., 2020
T-2;Rye;NA;12;-1.38;1.4;0.4398778;0.21195863;0.58;0.56;NA;0;0.74;2.3;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;12;-0.29;1.34;0.44303513;0.20006636;0.5;0.53;NA;0;3.58;7.07;NA;0;Kosicki et al., 2020
T-2;Rye;NA;12;-0.08;1.25;0.02004246;0.38778739;0.75;0.89;1.1;1.98;1.47;3.12;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;12;-0.46;1.43;0.46614976;0.20478874;0.5;0.48;NA;0;2.8;7.42;NA;0;Kosicki et al., 2020
T-2;Rye;NA;15;-0.28;1.49;0.34519717;0.31361945;0.67;0.81;1.06;2.24;1.59;3.96;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;15;1.39;1.63;0.34519717;1.25572911;0.6;0.86;4.01;14.93;6.69;22.36;NA;0;Kosicki et al., 2020
T-2;Rye;NA;15;-0.22;1.06;0.01304479;0.22358065;0.6;0.91;0.8;1.37;1.34;2.23;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;15;0.71;1.19;0.34519717;1.25572911;0.53;0.82;2.03;4.04;3.81;7.88;NA;0;Kosicki et al., 2020
T-2;Rye;NA;15;-0.49;1.55;0.34519717;1.25572911;0.6;0.77;0.86;2.01;1.43;3.93;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;15;-0.24;1.37;0.40494472;0.20222234;0.53;0.55;NA;0;3.42;7.32;NA;0;Kosicki et al., 2020
T-2;Rye;NA;15;0.12;1.46;0.02642187;0.23801765;0.67;0.88;1.21;3.24;6.73;4.84;NA;0;Kosicki et al., 2020
HT-2;Rye;NA;15;0.94;1.89;0.01912967;0.29149364;0.6;0.76;4.04;15.22;1.75;27.4;NA;0;Kosicki et al., 2020
T-2;Maize;NA;61;0.51;1.44;0.27604695;0.19613952;0.33;0.34;NA;0;12;11.23;NA;0;Kovac et al., 2022
HT-2;Maize;NA;51;1.89;0.67;0.10843738;0.07270727;0.88;0.88;NA;0;8;8.4;NA;0;Kovac et al., 2022
T-2;Wheat;NA;57;0.41;0.22;0.59976642;14.67532146;0;0;NA;0;NA;0;NA;0;Kovac et al., 2022
HT-2;Wheat;NA;57;0.41;0.22;0.59976642;14.67532146;0;0;NA;0;NA;0;NA;0;Kovac et al., 2022
T-2;Barley;NA;2;0.41;0.35;0.28168891;2.18518066;0;0;NA;0;NA;0;NA;0;Kovac et al., 2022
HT-2;Barley;NA;2;0.41;0.35;0.28168891;2.18518066;0;0;NA;0;NA;0;NA;0;Kovac et al., 2022
T-2;Maize;NA;23;0.03;1.34;0.51648639;0.27516128;0.17;0.21;NA;0;10;8.17;NA;0;Kovac et al., 2022
HT-2;Maize;NA;23;0.62;1.64;0.46240586;0.28527386;0.35;0.38;NA;0;18;16.41;NA;0;Kovac et al., 2022
T-2;Wheat;NA;47;0.41;0.23;0.59976642;12.91661205;0;0;NA;0;NA;0;NA;0;Kovac et al., 2022
HT-2;Wheat;NA;47;0.45;0.83;0.24010303;0.15066772;0.23;0.22;NA;0;4;5.53;NA;0;Kovac et al., 2022
T-2;Barley;NA;7;0.41;0.28;0.28168891;3.98766416;0;0;NA;0;NA;0;NA;0;Kovac et al., 2022
HT-2;Barley;NA;7;0.18;0.82;0.47677964;0.18872092;0.14;0.13;NA;0;3;5.31;NA;0;Kovac et al., 2022
T-2;Rye;NA;6;0.94;0.82;0.4123733;0.20908054;0.33;0.42;NA;0;8;6.12;NA;0;Kovac et al., 2022
HT-2;Rye;NA;6;1.01;2;0.95942784;0.28824093;0.33;0.48;NA;0;139;40.18;NA;0;Kovac et al., 2022
T-2;Oats;NA;6;1.36;1.21;0.53937062;0.24830497;0.5;0.58;NA;0;20;12.34;NA;0;Kovac et al., 2022
HT-2;Oats;NA;6;3.87;0.5;0.2685819;0.2060388;1;1;NA;0;49;54.35;NA;0;Kovac et al., 2022
T-2;Maize;NA;10;0.92;0.27;0.42705201;4.88427238;0;0;NA;0;NA;0;NA;0;Rasmussen et al., 2012
HT-2;Maize;NA;10;1.39;0.27;0.42705201;4.88427238;0;0;NA;0;NA;0;NA;0;Rasmussen et al., 2012
T-2;Oats;NA;11;1.81;1.12;0.02617868;0.11611677;0.5;0.57;14.2;11.4;28.3;18.1;NA;0;Rasmussen et al., 2012
HT-2;Oats;NA;11;2.98;1.23;0.03350891;0.15323993;0.67;0.77;59.3;41.92;89;53.44;NA;0;Rasmussen et al., 2012
HT-2;NA;Beer;7;-0.38;1.78;0.97552715;0.3110947;0.14;0.27;NA;0;31.3;10.25;NA;0;Rodriquez-carrasca et al., 2015
HT-2;NA;Beer;24;0.17;1.87;0.49979178;0.20095436;0.38;0.39;NA;0;33.6;16.06;NA;0;Rodriquez-carrasca et al., 2015
HT-2;NA;Beer;60;-3.05;2.26;0.93163897;0.29165259;0.03;0.05;NA;0;27;8.67;NA;0;Rodriquez-carrasca et al., 2015
HT-2;NA;Beer;5;0.15;1.64;0.93413811;0.31277537;0.2;0.37;NA;0;29.5;10.6;NA;0;Rodriquez-carrasca et al., 2015
HT-2;NA;Beer;6;-0.1;1.63;0.91399209;0.31206025;0.17;0.31;NA;0;24.2;9.12;NA;0;Rodriquez-carrasca et al., 2015
T-2;Wheat;NA;86;-2.09;1.7;0.47315855;0.33557355;0.15;0.14;0.4;0.73;NA;0;NA;0;Van der Fels-Klerx et al., 2012
HT-2;Wheat;NA;86;-0.63;2.08;0.60052531;0.26696323;0.1;0.08;2.2;8.05;NA;0;NA;0;Van der Fels-Klerx et al., 2012
T-2;Rye;NA;24;0.44;0.82;0.22656556;0.26496974;0.38;0.83;NA;2.03;NA;0;NA;0;Blajet-Kosicka et al., 2014
HT-2;Rye;NA;24;1.52;1.16;0.28344991;0.35563658;0.42;0.76;NA;8.6;NA;0;NA;0;Blajet-Kosicka et al., 2014
T-2;Rye;NA;52;-0.21;1.52;0.44414584;0.43513048;0.27;0.54;NA;2.54;NA;0;NA;0;Blajet-Kosicka et al., 2014
HT-2;Rye;NA;52;-0.62;1.68;0.62180476;0.54131462;0.21;0.22;NA;2.08;NA;0;NA;0;Blajet-Kosicka et al., 2014
T-2;NA;Rye products;18;0.54;1.2;0.28544572;0.38557305;0.5;0.77;NA;3.42;NA;0;NA;0;Blajet-Kosicka et al., 2014
HT-2;NA;Rye products;18;1.66;1.06;0.25154808;0.33976612;0.5;0.82;NA;8.82;NA;0;NA;0;Blajet-Kosicka et al., 2014
T-2;NA;Rye products;23;-1.79;1.2;1.08933661;0.71218451;0.09;0.11;NA;2.08;NA;0;NA;0;Blajet-Kosicka et al., 2014
HT-2;NA;Rye products;23;-0.74;1.4;1.02374;0.73730651;0.13;0.15;NA;2.08;NA;0;NA;0;Blajet-Kosicka et al., 2014
T-2;Barley;NA;123;-1.23;1.35;0.187378;4.88427238;0.1;0;3.9;0;34.9;0;0.2;0;Ibanez-Vea et al., 2012
HT-2;Barley;NA;123;-0.87;1.35;0.16703962;4.88427238;0.24;0;4.3;0;14.8;0;0.6;0;Ibanez-Vea et al., 2012
T-2;Oat kernels;NA;58;3.39;0.92;0.16024952;0.13286827;0.42;0.43;NA;0;107;105.76;NA;0;Kuzdralinkski et al., 2013
HT-2;Oat kernels;NA;58;0.44;2.37;0.44656851;0.19145516;0.31;0.32;NA;0;206;76.5;NA;0;Kuzdralinkski et al., 2013
HT-2;NA;Wheat;15;0.97;0.91;0.33114123;0.19498957;0.33;0.37;NA;0;8.9;7.71;NA;0;Rodriquez-carrasca et al., 2012
T-2;NA;Beer;49;-1.34;1.47;0.66127507;0.29356553;0.06;0.08;NA;0;6.96;4.96;NA;0;Rubert et al., 2013
HT-2;NA;Beer;49;-2.06;1.98;0.76409875;0.2755848;0.06;0.08;NA;0;17.38;7.93;NA;0;Rubert et al., 2013
T-2;Maize;NA;31;-0.18;1.77;1.03324211;0.34740717;0.02;0.05;NA;0;106;42.77;NA;0;Topi et al., 2021
T-2;Maize;NA;63;1.59;1.29;0.19284541;0.10940547;0.57;0.56;NA;0;24;18.58;NA;0;Pleadin et al., 2013
T-2;Wheat;NA;51;0.8;0.94;0.23617932;0.14752456;0.25;0.26;NA;0;9;8.24;NA;0;Pleadin et al., 2013
T-2;Barley;NA;34;0.92;1.14;0.2955584;0.17278909;0.32;0.33;NA;0;13;10.97;NA;0;Pleadin et al., 2013
T-2;Oats;NA;33;0.81;0.7;0.26106066;0.15400896;0.18;0.19;NA;0;7;6.44;NA;0;Pleadin et al., 2013
